Year,Onshore Wind,Offshore Wind,Shoreline wave / tidal ,Solar photovoltaics,Hydro,Landfill gas [note 6],Sewage sludge digestion [note 6],Energy from waste [note 8],Co-firing with fossil fuels,Animal Biomass (non-AD) [note 2] [note 6],Anaerobic Digestion,Plant Biomass [note 3] [note 6],Electricity generated_R,,
"2010 
1st quarter","1,757",671,1,6,845,"1,301",175,378,579,167,18,352,6.249,,
"2010 
2nd quarter","1,199",460,1,11,654,"1,291",189,383,460,161,24,421,5.253,,
"2010 
3rd quarter","1,934",826,1,15,856,"1,301",180,378,678,143,32,414,6.757,,
"2010 
4th quarter","2,336","1,103",0,9,"1,237","1,324",179,390,716,156,44,428,7.922,,
"2011 
1st quarter","2,397",998,0,15,"1,304","1,327",189,378,828,159,47,433,8.075,,
"2011 
2nd quarter","2,492","1,129",0,66,"1,142","1,317",198,368,599,154,52,467,7.984,,
"2011 
3rd quarter","1,915","1,098",0,105,"1,231","1,318",190,377,792,154,60,456,7.698,,
"2011 
4th quarter","4,010","1,924",0,57,"2,015","1,355",197,381,874,148,78,415,11.455,,
"2012 
1st quarter","3,565","1,507",1,178,"1,825","1,309",191,423,658,178,98,"1,069",11.002,,
"2012 
2nd quarter","2,242","1,650",1,438,796,"1,289",186,431,402,141,117,442,8.134,,
"2012 
3rd quarter","2,648","1,707",1,554,"1,054","1,305",175,465,421,144,130,904,9.508,,
"2012 
4th quarter","3,789","2,739",1,184,"1,635","1,305",187,453,347,180,150,"1,633",12.604,,
"2013 
1st quarter","3,974","2,805",1,140,"1,253","1,296",180,415,126,166,160,"1,797",12.313,,
"2013 
2nd quarter","3,874","2,615",1,701,969,"1,292",204,401,69,167,167,"2,761",13.222,,
"2013 
3rd quarter","2,769","1,965",1,860,743,"1,272",184,419,70,144,181,"2,188",10.797,,
"2013 
4th quarter","6,309","4,087",1,309,"1,736","1,314",197,413,72,151,205,"2,087",16.882,,
"2014 
1st quarter","6,666","4,384",0,470,"2,243","1,269",192,469,33,159,229,"2,218",18.333,,
"2014 
2nd quarter","3,036","2,092",1,"1,473","1,113","1,262",225,466,37,161,244,"3,055",13.165,,
"2014 
3rd quarter","2,884","2,242",0,"1,562",779,"1,239",208,485,28,132,259,"3,563",13.381,,
"2014 
4th quarter","5,968","4,687",1,549,"1,752","1,264",215,480,25,162,291,"4,248",19.643,,
